tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,total_amount,trip_distance,trip_duration
2022-01-01 21:14:59,2022-01-01 21:18:37,1.0,11.44,0.95,3
2022-01-01 21:00:44,2022-01-01 21:06:54,1.0,12.88,1.18,6
2022-01-01 21:15:14,2022-01-01 21:17:53,1.0,9.3,0.6,2
2022-01-01 21:55:39,2022-01-01 22:01:15,1.0,12.96,1.53,5
2022-01-01 22:21:28,2022-01-01 22:27:09,1.0,11.27,1.22,5
2022-01-01 23:13:11,2022-01-01 23:16:43,1.0,10.56,0.75,3
2022-01-01 23:54:01,2022-01-02 00:18:21,6.0,26.3,4.99,24
2022-01-01 22:59:02,2022-01-01 23:04:32,1.0,12.96,1.59,5
2022-01-01 23:37:35,2022-01-01 23:41:52,1.0,12.74,1.13,4
2022-01-01 23:26:28,2022-01-01 23:30:11,4.0,11.16,1.16,3
2022-01-01 23:07:44,2022-01-01 23:11:00,1.0,10.0,0.7,3
2022-01-01 23:01:27,2022-01-01 23:05:35,1.0,11.16,0.95,4
2022-01-02 03:39:21,2022-01-02 04:08:12,1.0,-21.3,1.66,28
2022-01-02 03:39:21,2022-01-02 04:08:12,1.0,21.3,1.66,28
2022-01-02 08:23:20,2022-01-02 08:25:38,1.0,8.75,0.5,2
2022-01-02 08:55:26,2022-01-02 08:59:55,1.0,10.8,0.5,4
2022-01-02 08:51:49,2022-01-02 08:57:03,1.0,9.8,1.5,5
2022-01-02 08:40:29,2022-01-02 08:44:48,1.0,9.3,1.3,4
2022-01-02 08:01:34,2022-01-02 08:05:02,1.0,11.76,1.65,3
2022-01-02 08:39:09,2022-01-02 08:41:40,1.0,7.8,0.87,2
2022-01-02 09:20:27,2022-01-02 09:22:25,0.0,8.75,0.7,1
2022-01-02 09:51:21,2022-01-02 09:57:26,1.0,9.8,1.32,6
2022-01-02 09:49:53,2022-01-02 09:51:34,1.0,8.76,0.72,1
2022-01-02 09:54:30,2022-01-02 09:58:50,2.0,10.56,1.0,4
2022-01-02 09:36:20,2022-01-02 09:39:47,6.0,9.96,0.76,3
2022-01-02 09:25:10,2022-01-02 09:27:47,5.0,7.8,0.72,2
2022-01-02 09:55:14,2022-01-02 09:59:27,1.0,10.3,1.28,4
2022-01-02 09:48:36,2022-01-02 09:50:22,1.0,7.3,0.4,1
2022-01-02 09:52:27,2022-01-02 09:54:40,1.0,7.8,0.93,2
2022-01-02 10:51:53,2022-01-02 10:56:01,1.0,9.96,0.58,4
2022-01-02 10:49:03,2022-01-02 10:52:07,1.0,9.96,0.99,3
2022-01-02 10:51:58,2022-01-02 10:57:17,1.0,9.3,0.84,5
2022-01-02 10:51:34,2022-01-02 10:57:14,1.0,9.3,1.28,5
2022-01-02 10:39:53,2022-01-02 10:44:19,1.0,10.12,1.04,4
2022-01-02 10:12:08,2022-01-02 10:13:51,1.0,7.3,0.63,1
2022-01-02 10:57:03,2022-01-02 11:02:09,4.0,9.8,1.49,5
2022-01-02 10:57:23,2022-01-02 11:02:31,4.0,11.6,1.3,5
2022-01-02 10:28:57,2022-01-02 10:34:40,1.0,12.36,1.33,5
2022-01-02 10:44:57,2022-01-02 10:48:29,1.0,8.3,0.88,3
2022-01-02 10:56:35,2022-01-02 11:01:56,2.0,11.16,1.19,5
2022-01-02 10:27:05,2022-01-02 10:32:25,1.0,11.76,1.11,5
2022-01-02 11:53:52,2022-01-02 11:57:08,1.0,10.3,1.43,3
2022-01-02 11:40:26,2022-01-02 11:46:35,1.0,12.36,1.29,6
2022-01-02 11:07:23,2022-01-02 11:09:08,1.0,6.8,0.5,1
2022-01-02 11:17:10,2022-01-02 11:20:29,1.0,8.8,1.1,3
2022-01-02 11:56:02,2022-01-02 11:57:33,2.0,8.75,0.6,1
2022-01-02 11:07:22,2022-01-02 11:10:43,1.0,9.75,0.56,3
2022-01-02 10:59:11,2022-01-02 11:03:06,2.0,9.96,0.69,3
2022-01-02 11:32:03,2022-01-02 11:38:04,2.0,10.8,1.83,6
2022-01-02 11:45:30,2022-01-02 11:51:21,1.0,11.27,1.31,5
2022-01-02 11:05:15,2022-01-02 11:07:20,1.0,8.97,0.81,2
2022-01-02 10:00:59,2022-01-02 10:03:03,2.0,7.8,0.88,2
2022-01-02 11:48:48,2022-01-02 11:50:58,2.0,9.45,0.7,2
2022-01-02 11:37:51,2022-01-02 11:40:37,2.0,9.35,0.8,2
2022-01-02 11:00:24,2022-01-02 11:03:14,2.0,9.13,1.02,2
2022-01-02 11:44:28,2022-01-02 11:49:41,2.0,11.76,1.26,5
2022-01-02 11:55:40,2022-01-02 11:59:09,1.0,8.75,0.2,3
2022-01-02 11:46:00,2022-01-02 11:47:49,1.0,8.5,0.42,1
2022-01-02 11:50:47,2022-01-02 11:56:41,1.0,11.3,1.25,5
2022-01-02 11:45:20,2022-01-02 11:52:14,1.0,11.84,1.56,6
2022-01-02 11:55:11,2022-01-02 11:58:29,1.0,7.8,0.69,3
2022-01-02 11:59:18,2022-01-02 12:04:13,0.0,10.8,1.3,4
2022-01-02 11:11:53,2022-01-02 11:14:17,1.0,8.15,0.3,2
2022-01-02 11:54:00,2022-01-02 11:58:29,4.0,8.8,0.97,4
2022-01-02 12:53:29,2022-01-02 12:57:31,1.0,10.55,1.2,4
2022-01-02 12:45:40,2022-01-02 12:51:45,1.0,11.8,1.2,6
2022-01-02 12:01:16,2022-01-02 12:05:10,2.0,9.3,0.5,3
2022-01-02 12:44:38,2022-01-02 12:51:30,1.0,12.36,1.21,6
2022-01-02 12:49:12,2022-01-02 12:55:08,1.0,9.8,1.23,5
2022-01-02 12:49:40,2022-01-02 12:55:03,1.0,11.16,0.87,5
2022-01-02 12:02:47,2022-01-02 12:05:04,1.0,8.76,0.51,2
2022-01-02 12:56:27,2022-01-02 12:59:40,1.0,9.96,0.95,3
2022-01-02 12:22:38,2022-01-02 12:24:39,1.0,7.3,0.46,2
2022-01-02 12:42:09,2022-01-02 12:44:53,2.0,9.35,0.8,2
2022-01-02 12:42:13,2022-01-02 12:46:50,1.0,9.8,1.47,4
2022-01-02 12:30:41,2022-01-02 12:34:13,1.0,9.96,0.7,3
2022-01-02 12:01:20,2022-01-02 12:03:02,1.0,7.3,0.68,1
2022-01-02 12:58:10,2022-01-02 12:59:59,3.0,8.76,0.68,1
2022-01-02 12:35:36,2022-01-02 12:39:49,1.0,10.8,0.6,4
2022-01-02 12:03:41,2022-01-02 12:10:27,1.0,12.36,1.54,6
2022-01-02 13:26:46,2022-01-02 13:32:00,1.0,11.0,0.88,5
2022-01-02 13:15:59,2022-01-02 13:25:52,1.0,15.36,2.23,9
2022-01-02 13:20:05,2022-01-02 13:22:41,2.0,10.14,0.7,2
